Year,Delivering_Country,Receiving_Countries,Diplomacy_category,Comments,Source,Latitude,Longitude,Colour
2022,Australia,Tonga,HADR – Disaster Response,ADF's Operation Tonga Assist,https://www.youtube.com/watch?v=q0Y6F_YSzCk,,,Broad
2023,United States of America,Fiji,Training,Training future military leaders,https://www.whitehouse.gov/briefing-room/statements-releases/2023/09/25/fact-sheet-enhancing-the-u-s-pacific-islands-partnership/,,,Broad
2019,United States of America,Tonga,Military Exercises,"Tongan Marines excel in ""Best Warrior"" contest, Nevada",https://matangitonga.to/2019/04/18/tongan-marines-excel-best-warrior-contest-nevada,,,Broad
2020,United States of America,Papua New Guinea,Visit Diplomacy (Defence),Foreign Defence Attaches and Advisers to PNG,https://twitter.com/CDF_PNGDF/status/1232174943367876608,-9.470271211,147.1850075,Specific
2023,New Zealand,Fiji,Training,More K9 dogs added to assist in curbing crimes ,https://www.fbcnews.com.fj/news/more-k9-dogs-added-to-assist-in-curbing-crimes/,-18.15452807,178.4240095,Specific
2023,Australia,Fiji,Training,Pacific Partnership 2023,https://twitter.com/DefenceAust/status/1702547814008385812,-18.13500674,178.4349468,Specific
2023,China,Vanuatu,Military Medical Diplomacy,Chinese naval hospital ship visits Vanuatu,http://eng.chinamil.com.cn/BILINGUAL/News_209203/16243937.html,-17.75303685,168.3049195,Specific
2023,Australia,Tonga,Training,Australian Defence Force assists HMAF,https://matangitonga.to/2023/04/27/australian-defence-assists-hmaf,-21.14141654,-175.2072568,Specific
2023,France,Vanuatu,HADR – Disaster Response,A French army detachment arrives in Vanuatu to secure and renovate school infrastructure destroyed by cyclones,https://twitter.com/jeangene_vilmer/status/1727931444083970484,-17.70106058,168.3195167,Specific
2018,Australia,Fiji,Visit Diplomacy (Defence),ADF Bids Farewell to Fiji Following Engagement Activities,https://www.defence.gov.au/news-events/releases/2018-06-11/adf-bids-farewell-fiji-following-engagement-activities,-18.13575634,178.4061002,Specific
2019,Australia,Fiji,Defence Cooperation,Australia and Fiji commit to defence cooperation,https://www.minister.defence.gov.au/media-releases/2019-09-16/australia-and-fiji-commit-defence-cooperation,-17.75989686,177.4842277,Specific
2022,Fiji,Tonga,HADR – Disaster Response,Friends work together ,https://www.defence.gov.au/news-events/news/2022-02-21/friends-work-together-support-tonga,-21.05205498,-175.2553495,Specific
2019,China,Papua New Guinea,Training,First Chinese trained military doctor commissioned to Papua New Guinea Defense Force,http://eng.chinamil.com.cn/CHINA_209163/TopStories_209189/9440292.html,-9.469094395,147.1830579,Specific
2023,Australia,Vanuatu,MIL-POL Engagement,AFP and Vanuatu Police unveil new police and justice precinct,https://www.afp.gov.au/news-centre/media-release/afp-and-vanuatu-police-unveil-new-police-and-justice-precinct,-16.59111419,168.1660883,Specific
2021,Australia,Tonga,Defence Infrastructure,King opens new military camp in 'Eua,https://matangitonga.to/2021/06/15/king-opens-euamilitary-camp,-21.37925676,-174.9479725,Specific
2023,New Zealand,Fiji,Arms control,RNZN ship’s crew to undertake historic survey and bomb disposal in Pacific Islands mission,https://www.nzdf.mil.nz/media-centre/news/rnzn-ships-crew-to-undertake-historic-survey-and-bomb-disposal-in-pacific-islands-mission/,-18.12489247,178.430668,Specific
2018,Australia,Fiji,HADR – Disaster Response,Conclusion of Defence emergency assistance to Tonga and Fiji,https://www.minister.defence.gov.au/media-releases/2018-02-23/conclusion-defence-emergency-assistance-tonga-and-fiji,-16.02269843,179.6329567,Specific
2020,Australia,Papua New Guinea,Visit Diplomacy (Defence),Foreign Defence Attaches and Advisers to PNG,https://twitter.com/CDF_PNGDF/status/1232174943367876608,-9.470271211,147.1850075,Specific
2023,Australia,Papua New Guinea,Visit Diplomacy (Defence),Australia-PNG Defence Cooperation Program,https://twitter.com/AusHCPNG/status/1636617568927756288,-9.470930895,147.184773,Specific
2023,United Kingdom,Fiji,Public Diplomacy,UK's Defence Attache to Fiji celebrates Remembrance Day,https://twitter.com/UK_DA_Pacific/status/1723204872672100460,-17.76003686,177.4839972,Specific
2022,Tonga,Fiji,HADR – Disaster Response,Ensuring readiness for high-risk weather ,https://www.defence.gov.au/news-events/news/2022-08-02/ensuring-readiness-high-risk-weather,-17.75917566,177.4841372,Specific
2023,United Kingdom,Fiji,Maritime Security,UK Navy's Hydrographic Office welcomes Fijian Navy Officers,https://twitter.com/UKHO/status/1713925338630148214?t=-WlJ5WNdOtTi3wkyedFV1A&s=03,,,Broad
2023,France,Vanuatu,MIL-POL Engagement,The VMF with French cadets celebrate Remembrance Day 2023,https://twitter.com/jeangene_vilmer/status/1723280368038826430,-17.72537056,168.3157458,Specific
2022,New Zealand,Fiji,Visit Diplomacy (Defence),New Zealand Defence Minister tours Blackrock while on bilateral visit,https://www.rfmf.mil.fj/new-zealand-defence-minister-tours-blackrock-while-on-bilateral-visit/,-17.76047233,177.4828933,Specific
2022,Australia,Papua New Guinea,Military Exercises,Bond as strong as ever,https://www.defence.gov.au/news-events/news/2022-04-20/bond-strong-ever,-3.559163416,143.6978192,Specific
2023,Australia,Papua New Guinea,Defence Cooperation,PNG and Australia's defence cooperation is a 'jewel' of their relationship ,https://www.abc.net.au/news/2023-09-25/australia-png-defence-treaty-negotiations-still-ongoing/102838770,-9.428590017,147.1920272,Specific
2023,France,Fiji,Defence Cooperation,France and Fiji strengthen defense ties,https://www.fbcnews.com.fj/news/france-and-fiji-strengthen-defense-ties/,-18.14151327,178.4237502,Specific
2021,Australia,Tonga,MIL-POL Engagement,Tonga police partners with AFP ,https://matangitonga.to/2021/02/12/tonga-police-partners-australian-federal-police,-21.13368819,-175.1993134,Specific
2021,Australia,Papua New Guinea,Defence Infrastructure,"Opening of new accommodation block at Igam Barracks, Lae",https://twitter.com/ADFinPNG/status/1426324218669502464,-6.643009058,146.9827511,Specific
2023,Australia,Papua New Guinea,Public Diplomacy,The 3rd Brigade Australian Army Band on Tour ,https://www.facebook.com/3rdbrigadeaustralianarmy/videos/bandies-on-tour-/1499713554125038/,-9.449559304,147.1794678,Specific
2023,United States of America,Papua New Guinea,Visit Diplomacy (Defence),Pacific Partnership 2023 Returns to Papua New Guinea,https://www.navy.mil/Press-Office/News-Stories/Article/3552146/pacific-partnership-2023-returns-to-papua-new-guinea/,-3.561353268,143.6989504,Specific
2019,Australia,Tonga,Defence Infrastructure,Tonga receives Guardian-class Patrol Boat,https://www.minister.defence.gov.au/media-releases/2019-06-21/tonga-receives-guardian-class-patrol-boat,-21.13880713,-175.1771791,Specific
2023,China,Vanuatu,Military Medical Diplomacy,"Chinese, Vanuatu military doctors complete tumor resection operation on Peace Ark",http://eng.mod.gov.cn/xb/News_213114/TopStories/16244451.html,-17.75553518,168.2976361,Specific
2018,China,Tonga,Military Medical Diplomacy,Ark Peace Arrives in Tonga for Visit and Providing Medical Service,http://to.china-embassy.gov.cn/eng/tjjs/201808/t20180815_57972.htm,-21.12987344,-175.197014,Specific
2018,Australia,Fiji,Military Exercises,Regional Ties Strengthened As Exercise Kakadu Wraps Up In the Top End,https://www.minister.defence.gov.au/media-releases/2018-09-13/regional-ties-strengthened-exercise-kakadu-wraps-top-end,,,Broad
2023,Australia,Papua New Guinea,Training,Sappers who dig together stay together,https://www.defence.gov.au/news-events/news/2023-03-20/sappers-who-dig-together-stay-together?linkId=206317721,,,Broad
2018,New Zealand,Fiji,Visit Diplomacy (Defence),Defence Minister in Fiji ,https://www.beehive.govt.nz/release/defence-minister-fiji,-18.14843991,178.4457475,Specific
2020,India,Papua New Guinea,Visit Diplomacy (Defence),Foreign Defence Attaches and Advisers to PNG,https://twitter.com/CDF_PNGDF/status/1232174943367876608,-9.470271211,147.1850075,Specific
2020,Australia,Tonga,Defence Infrastructure,Australia funds Tonga's Joint Maritime Coordination Centre,https://matangitonga.to/2020/07/06/tonga-s-maritime-coordination-centre-launched,-21.13986708,-175.1770974,Specific
2023,Australia,Solomon Islands,Defence Infrastructure,Remote Positioning Vehicle gifted to RSIPF,https://www.rsipf.gov.sb/?q=node/2742,-9.428985877,159.9429831,Specific
2022,New Zealand,Fiji,Visit Diplomacy (Defence),Ministerial Overseas Travel 16-10-2022 to 20-10-2022,https://www.defence.govt.nz/publications/publication/ministerial-overseas-travel-16-10-2022-to-20-10-2022,,,Broad
2022,Australia,Tonga,HADR – Disaster Response,Royal Australian Navy taskforce landed on 'Atata for clean-up and damage assessment,https://matangitonga.to/2022/02/15/royal-australian-navy-taskforce-landed-atata-clean-and-damage-assessment,-21.05139886,-175.2544428,Specific
2019,Australia,Fiji,Sports Diplomacy (Defence),Women's Rugby Sevens brings Pacific nations together,https://www.minister.defence.gov.au/media-releases/2019-10-24/womens-rugby-sevens-brings-pacific-nations-together,-17.89384098,177.2666205,Specific
2021,Australia,Papua New Guinea,Maritime Security,ADF unites against illegal fishing in the Pacific,https://www.defence.gov.au/news-events/releases/2021-11-05/adf-unites-against-illegal-fishing-pacific,-3.560168885,143.7016448,Specific
2022,Australia,Fiji,Visit Diplomacy (Defence),"Doorstop interview, Blackrock, Fiji",https://www.minister.defence.gov.au/transcripts/2022-10-20/doorstop-interview-blackrock-fiji,-17.75989962,177.4843183,Specific
2023,China,Papua New Guinea,Visit Diplomacy (Defence),PM Marape attends 74th Anniversary of the Founding of the PRC on naval ship,https://www.linkedin.com/posts/postcourierlive_postcourieronline-activity-7113091331094188032-oEQ-/?utm_source=share&utm_medium=member_android,-9.47885557,147.1438592,Specific
2018,Australia,Papua New Guinea,HADR – Disaster Response,ADF provides further humanitarian support to Papua New Guinea,https://www.minister.defence.gov.au/media-releases/2018-03-10/adf-provides-further-humanitarian-support-papua-new-guinea,-5.736243672,142.7489441,Specific
2022,New Zealand,Tonga,HADR – Disaster Response,"RNZAF Hercules bringing vaccines, rapid antigen tests and more aid, today",https://matangitonga.to/2022/02/05/rnzaf-hercules-bringing-vaccines-rapid-antigen-tests-and-more-aid-today,-21.24310393,-175.1426209,Specific
2023,Australia,Solomon Islands,Arms control,About 500 plus UXOs safely remove and ready for destruction in Western Province,https://www.rsipf.gov.sb/?q=node/2777,-8.174524,157.411937,Specific
2023,New Zealand,Fiji,Defence Cooperation,Status of Forces Agreement between Aotearoa New Zealand and the Republic of Fiji: Approval for Signature,https://www.defence.govt.nz/publications/publication/status-of-forces-agreement-between-aotearoa-new-zealand-and-the-republic-of-fiji-approval-for-signature,,,Broad
2021,United Kingdom,Fiji,MIL-POL Engagement,British Government assures Force support in cooperation programs,https://www.fijitimes.com/british-government-assures-force-support-in-cooperation-programs/,-18.11051142,178.4666562,Specific
2022,Australia,Tonga,Military Exercises,Forces combine in lead-up to Rimpac,https://www.defence.gov.au/news-events/news/2022-06-08/forces-combine-lead-rimpac,-21.13301994,-175.2025419,Specific

2023,United States of America,Fiji,Military Exercises,The Pacific Partnership 2023 Band performs alongside the Royal Australian and New Zealand navies in Fiji,https://www.facebook.com/100068879063470/posts/the-pacificpartnership2023-band-is-growing-and-continuing-their-small-screen-suc/657967406509222/,-18.13614368,178.4366464,Specific
2018,Australia,Tonga,Visit Diplomacy (Defence),Minister visits the Kingdom of Tonga,https://www.minister.defence.gov.au/media-releases/2018-06-13/minister-visits-kingdom-tonga,-21.1305954,-175.195837,Specific
2018,Australia,Papua New Guinea,Military Exercises,Indo-Pacific Endeavour 18 continues to build regional security and stability,https://www.minister.defence.gov.au/media-releases/2018-06-01/indo-pacific-endeavour-18-continues-build-regional-security-and-stability,-9.459422135,147.1445679,Specific
2021,Australia,Vanuatu,MIL-POL Engagement,AFP donates automated external defibrillators to Vanuatu Police Force ,https://www.afp.gov.au/news-centre/media-release/afp-donates-automated-external-defibrillators-vanuatu-police-force,-17.72356023,168.315577,Specific
2023,New Zealand,Fiji,HADR – Disaster Response,"The RNZN vessel, HMNZ Manawanui delivers food rations to Malolo Island ",https://twitter.com/FijiNDMO/status/1725664667216011398,-17.74395768,177.1834814,Specific
2023,Australia,Solomon Islands,Sports Diplomacy (Defence),HMAS Choules returns home after providing logistical support to the Pacific Games 2023 in Solomon Islands,https://twitter.com/Australian_Navy/status/1735389199128285635,-9.429390643,159.9656064,Specific
2023,Australia,Papua New Guinea,Military Exercises,Exercise Pukpuk,https://twitter.com/AustralianArmy/status/1692672738719039929,-2.042105263,147.3737512,Specific
2023,New Zealand,Fiji,HADR – Disaster Response,NZ Air Force finds Fiji fishing boat missing for 9 days,https://matangitonga.to/2023/10/13/nz-air-force-finds-fiji-fishing-boat-missing-9-days,-17.01559213,177.4875556,Specific
2022,Fiji,Tonga,HADR – Disaster Response,Farewell acknowledges work of Pacific family,https://www.defence.gov.au/news-events/news/2022-03-18/farewell-acknowledges-work-pacific-family,-21.13152421,-175.1981255,Specific
2022,Australia,Papua New Guinea,Military Exercises,Sappers lead the way in Lae,https://www.defence.gov.au/news-events/news/2022-04-14/sappers-lead-way-lae,-6.643890172,146.9845185,Specific
2020,Indonesia,Papua New Guinea,Visit Diplomacy (Defence),Foreign Defence Attaches and Advisers to PNG,https://twitter.com/CDF_PNGDF/status/1232174943367876608,-9.470271211,147.1850075,Specific
2023,United States of America,Papua New Guinea,HADR – Disaster Response,Pacific Partnership in Moem,https://insidepng.com/pacific-partnership-in-moem/,-3.557399134,143.6967542,Specific
2022,Australia,Tonga,HADR – Disaster Response,Tongan homecoming for ADF personnel ,https://www.youtube.com/watch?v=Gzp_odsRZyE,,,Broad
2020,United Kingdom,Vanuatu,Training,VIPAM Manager attends Regional Strategic Leadership Program ,https://www.dailypost.vu/news/vipam-manager-attends-regional-strategic-leadership-program/article_bdd45676-37d6-11eb-9b10-9f69a8938613.html,-17.74119413,168.3173878,Specific
2022,Australia,Fiji,Defence Cooperation,Chipping in together in Gapuwiyak,https://www.defence.gov.au/news-events/news/2022-09-28/chipping-together-gapuwiyak,-18.1121628,178.457193,Specific
2022,Australia,Papua New Guinea,Defence Cooperation,ADF election support to PNG,https://www.defence.gov.au/news-events/releases/2022-06-12/adf-election-support-png,-9.448597985,147.1873046,Specific
2023,Australia,Papua New Guinea,Defence Cooperation,Australian capability support to PNG,https://www.postcourier.com.pg/australian-capability-support-to-png/,-9.470424959,147.1517666,Specific
2023,France,Tonga,Visit Diplomacy (Defence),Prime Minister and Minister responsible for HMAF meets French Minister of Defence,https://www.gov.to/press-release/prime-minister-and-minister-responsible-for-his-majestys-armed-forces-meets-french-minister-of-defence/,-21.15112087,-175.2520963,Specific
2023,United Kingdom,Fiji,Military Exercises,Exercise Cartwheel 2023,https://twitter.com/RFMF_Defence/status/1702426536702607473,-17.75985391,177.4849893,Specific
2023,New Zealand,Solomon Islands,Military Medical Diplomacy,"ADF, RNZAF support airlifting of medical supplies",https://www.solomonstarnews.com/adf-rnzaf-support-airlifting-of-medical-supplies/,-8.145591814,159.5929864,Specific
2023,New Zealand,Papua New Guinea,Military Exercises,New Zealand Army Cadets visited PNGDF Cadets,https://twitter.com/ddotaona/status/1700405288040563027?s=03&t=1G0OXzF5SARu8OVzsQFRkQ,-6.645007222,146.9864947,Specific
2023,Australia,Solomon Islands,Defence Cooperation,Stronger Together: 50 Years of Defence Cooperation,https://www.youtube.com/watch?v=iN76XB6cLnY,,,Broad
2020,Australia,Papua New Guinea,Military Exercises,The PNGDF 2 RIPR Reconnaissance Platoon took an ADF Advisor through an obstacle course in Moem Barracks,https://twitter.com/ADFinPNG/status/1305344116654403584?s=20,-3.561265475,143.7045043,Specific
2022,Japan,Fiji,Military Exercises,Japan-Fiji Goodwill Exercise,https://www.mod.go.jp/msdf/en/release/202208/20220816FJIe.pdf,,,Broad
2021,Australia,Fiji,HADR – Disaster Response,Supporting Fijian education opportunities ,https://www.defence.gov.au/news-events/news/2021-12-08/supporting-fijian-education-opportunities,-16.68852416,178.7077942,Specific
2021,Australia,Fiji,Defence Infrastructure,World-class training facility in Fiji nears completion,https://www.defence.gov.au/news-events/news/2021-11-23/world-class-training-facility-fiji-nears-completion,-17.75856701,177.4853498,Specific
2022,Australia,Fiji,Defence Infrastructure,"Australia has invested heavily in a Pacific peacekeeping hub. So, where are the recruits?",https://theconversation.com/australia-has-invested-heavily-in-a-pacific-peacekeeping-hub-so-where-are-the-recruits-215533,-17.75900933,177.4848899,Specific
2022,Australia,Fiji,Defence Infrastructure,Blackrock officially opens,https://www.rfmf.mil.fj/blackrock-officially-opens/,-17.76180995,177.4860807,Specific
2023,Australia,Solomon Islands,MIL-POL Engagement,Exercise Coastwatchers trains more than 140 police officers,https://indepthsolomons.com.sb/exercise-coastwatchers-trains-more-than-140-police-officers/,-9.436725478,159.94049,Specific
2023,New Zealand,Tonga,Visit Diplomacy (Defence),Collins leaves for Pacific defence meeting ,https://www.beehive.govt.nz/release/collins-leaves-pacific-defence-meeting,,,Broad
2023,France,Vanuatu,Public Diplomacy,French army built new classroom,https://www.facebook.com/groups/VanuatuNews.vu/posts/7050771635016898/,-17.73884274,168.3217336,Specific
2023,Australia,Fiji,Military Exercises,"PNG, Fiji, Tonga participate in Talisman Sabre 2023",https://islandsbusiness.com/news-break/png-fiji-tonga-participate-in-large-scale-military-exercise-in-australia/,,,Broad
2023,France,Vanuatu,Defence Infrastructure,The D’Entrecasteaux Overseas Support and Assistance Building transported equipment to Port Vila,https://twitter.com/EtatMajorFR/status/1714971116651917347,-17.75136219,168.3014497,Specific
2023,United Kingdom,Fiji,Visit Diplomacy (Defence),"Veterans’ Minister attends National Day, deepening UK-Fiji ties ",https://www.gov.uk/government/news/veterans-minister-attends-national-day-deepening-uk-fiji-ties,-18.14582929,178.4259562,Specific
2019,New Zealand,Solomon Islands,Defence Cooperation,NZDF Logistics Support to 2019 Solomon Islands Elections ,https://www.defence.govt.nz/publications/publication/nzdf-logistics-support-to-2019-solomon-islands-elections,-9.428685362,160.0484686,Specific
2023,Australia,Solomon Islands,MIL-POL Engagement,ADF trains Royal Solomon Islands Police Force officers in small boats handling,https://twitter.com/AusHCSols/status/1704377671843750168,-9.417713011,159.9150516,Specific
2023,Australia,Papua New Guinea,Defence Infrastructure,Extending a helping hand,https://www.defence.gov.au/news-events/news/2023-10-10/extending-helping-hand,-5.420599866,154.6761435,Specific
2023,United States of America,Papua New Guinea,Defence Cooperation,USTRANSCOM commander arrives in Papua New Guinea,https://www.ustranscom.mil/cmd/panewsreader.cfm?ID=8A1FB08E-E128-318F-8B5CAB08ECDE024C&yr=2021,-9.431835164,147.2125152,Specific
2019,New Zealand,Fiji,Visit Diplomacy (Defence),Ministerial Overseas Travel 08-05-2019 to 10-05-2019 ,https://www.defence.govt.nz/publications/publication/ministerial-overseas-travel-08052019-10052019,,,Broad
2022,New Zealand,Solomon Islands,Visit Diplomacy (Defence),Ministerial Overseas Travel 06-08-2022 to 09-08-2022,https://www.defence.govt.nz/publications/publication/ministerial-overseas-travel-06-08-22-to-09-08-22,-9.429497546,159.9577705,Specific
2022,Fiji,Tonga,HADR – Disaster Response,Working together to support Tonga,https://www.defence.gov.au/news-events/news/2022-02-16/working-together-support-tonga,-21.05495864,-175.2567871,Specific
2023,Japan,Tonga,Visit Diplomacy (Defence),Japanese destroyer arrives in Nuku'alofa,https://matangitonga.to/2023/08/28/japanese-destroyer-arrives-nukualofa,-21.1292848,-175.1977932,Specific
2022,New Zealand,Tonga,Defence Infrastructure,NZ constructs multi-million Tonga Pacific Leadership Centre,https://matangitonga.to/2022/09/23/nz-constructs-multi-million-tonga-pacific-leadership-centre,-21.13967856,-175.1778276,Specific
2021,United Kingdom,Papua New Guinea,Training,British Unit Assists PNGDF,https://www.looppng.com/png-news/british-unit-assists-pngdf-106334,-9.467497094,147.1838383,Specific
2023,Australia,Solomon Islands,MIL-POL Engagement,"Australia to send more police to Solomon Islands, extend mission",https://www.aljazeera.com/news/2023/9/3/australia-to-send-more-police-to-solomon-islands-extend-mission,-9.429244652,159.9421475,Specific
2023,Australia,Fiji,Defence Infrastructure,More Bushmasters for Fiji,https://www.australiandefence.com.au/news/news/more-bushmasters-for-fiji?s=08,-17.74973487,177.4515759,Specific
2023,France,Vanuatu,Visit Diplomacy (Defence),Open days for the French Navy in Vanuatu,https://twitter.com/jeangene_vilmer/status/1711978987747258524,-17.75394265,168.3063736,Specific
2023,Australia,Solomon Islands,Sports Diplomacy (Defence),Aust HC to SI provided PM Sogavare with an update on Aust's security support for the Pacific Games,https://twitter.com/AusHCSols/status/1722485790335434871,-9.429748492,159.9512521,Specific
2018,Australia,Tonga,Military Exercises,Indo-Pacific Endeavour arrives home,https://www.minister.defence.gov.au/media-releases/2018-08-23/indo-pacific-endeavour-arrives-home,-21.12110821,-175.1759118,Specific
2023,Australia,Papua New Guinea,Sports Diplomacy (Defence),Touch down in PNG,https://www.defence.gov.au/news-events/news/2023-09-27/touch-down-png,-9.44090761,147.1853925,Specific
2023,Australia,Papua New Guinea,Training,Australian Army Mentoring/Training Team,https://twitter.com/ChiefAusArmy/status/1651746845276901377,-9.480045429,147.1564989,Specific
2023,United States of America,Papua New Guinea,Military Exercises,US-PNG Joint Military Exercise,https://www.pacom.mil/Media/News/News-Article-View/Article/3516062/tamiok-strike-strengthens-bonds-between-wisconsin-guard-papua-new-guinea/,-3.560415117,143.7010764,Specific
2023,Australia,Fiji,Defence Cooperation,ADF International Engagement and Re-engagement with Fiji,https://researchcentre.army.gov.au/sites/default/files/occasional_paper_18_-_adf_engaging_with_fiji.pdf,,,Broad
2023,United States of America,Papua New Guinea,HADR – Disaster Response,Pacific Partnership 2023 Concludes Fourth Stop in Papua New Guinea,https://www.dvidshub.net/news/456184/pacific-partnership-2023-concludes-fourth-stop-papua-new-guinea,-3.560450178,143.699361,Specific
2021,Australia,Tonga,Defence Infrastructure,Australian Government provides navy vessel to Tonga,https://tonga-gov.pt/en/his-majesty-king-tupou-vi-of-tonga-commissioned-new-patrol-boat-voea-ngahau-siliva/,-21.13987415,-175.1776161,Specific
2018,China,Vanuatu,MIL-POL Engagement,Handing over of VMF Band instruments and  sports equipment ,https://police.gov.vu/media-news/news/188-handing-over-of-vmf-band-instrument-and-sports-equipment,-17.72460555,168.3152945,Specific
2023,Australia,Solomon Islands,MIL-POL Engagement,"RSIPF Gifted with World Class Capabilities, thanks to Australia",https://www.sibconline.com.sb/rsipf-gifted-with-world-class-capabilities-thanks-to-australia/,-9.430895656,160.0703268,Specific
2023,Australia,Fiji,Training,RAAF team delivers critical training in Fiji,https://www.defence.gov.au/news-events/news/2023-07-07/raaf-team-delivers-critical-training-fiji?linkId=224999801&s=03,-18.11271941,178.456812,Specific
2023,New Zealand,Fiji,Visit Diplomacy (Defence),The RFMF hosted Fiji's PM and NZ Deputy PM,https://twitter.com/RFMF_Defence/status/1735591600762532170,-17.76010137,177.4839825,Specific
2022,New Zealand,Fiji,Defence Cooperation,RFMF conducts bilateral defence dialogue with NZDF,https://www.rfmf.mil.fj/rfmf-conducts-bilateral-defence-dialogue-with-nzdf/,-18.14749928,178.4222007,Specific
2022,Australia,Tonga,HADR – Disaster Response,RAAF C-17A flight with Australian supplies arrives in Tonga,https://www.minister.defence.gov.au/media-releases/2022-01-20/raaf-c-17a-flight-australian-supplies-arrives-tonga,-21.23553361,-175.1585188,Specific
2020,United Kingdom,Vanuatu,Training,South Pacific Strategic Leadership Program delivered across six time zones,https://www.cranfield.ac.uk/press/news-2020/south-pacific-strategic-leadership-programme-delivered-across-six-time-zones,-17.72431951,168.315121,Specific
2019,Australia,Solomon Islands,Defence Cooperation,Strengthening Australia's defence ties with Papua New Guinea and Solomon Islands,https://www.minister.defence.gov.au/media-releases/2019-08-22/strengthening-australias-defence-ties-papua-new-guinea-and-solomon-islands,-9.429530661,159.9504874,Specific
2023,Australia,Vanuatu,MIL-POL Engagement,Cook Barracks and Tiroas Barracks Redevelopment (Vanuatu),https://www.afp.gov.au/news-centre/media-release/afp-donates-automated-external-defibrillators-vanuatu-police-force,-17.73817717,168.3143646,Specific
